Index,Series Name,Period,Frequency,Value,Units
235,"Henry Hub Natural Gas Spot Price, Daily",20191210,D,2.18,Dollars per Million Btu
236,"Henry Hub Natural Gas Spot Price, Daily",20191209,D,2.17,Dollars per Million Btu
237,"Henry Hub Natural Gas Spot Price, Daily",20191206,D,2.31,Dollars per Million Btu
238,"Henry Hub Natural Gas Spot Price, Daily",20191205,D,2.42,Dollars per Million Btu
239,"Henry Hub Natural Gas Spot Price, Daily",20191204,D,2.43,Dollars per Million Btu
240,"Henry Hub Natural Gas Spot Price, Daily",20191203,D,2.42,Dollars per Million Btu
241,"Henry Hub Natural Gas Spot Price, Daily",20191202,D,2.29,Dollars per Million Btu
242,"Henry Hub Natural Gas Spot Price, Daily",20191129,D,2.46,Dollars per Million Btu
243,"Henry Hub Natural Gas Spot Price, Daily",20191127,D,2.46,Dollars per Million Btu
244,"Henry Hub Natural Gas Spot Price, Daily",20191126,D,2.51,Dollars per Million Btu
245,"Henry Hub Natural Gas Spot Price, Daily",20191125,D,2.51,Dollars per Million Btu
246,"Henry Hub Natural Gas Spot Price, Daily",20191122,D,2.62,Dollars per Million Btu
247,"Henry Hub Natural Gas Spot Price, Daily",20191121,D,2.53,Dollars per Million Btu
248,"Henry Hub Natural Gas Spot Price, Daily",20191120,D,2.56,Dollars per Million Btu
249,"Henry Hub Natural Gas Spot Price, Daily",20191119,D,2.53,Dollars per Million Btu
250,"Henry Hub Natural Gas Spot Price, Daily",20191118,D,2.64,Dollars per Million Btu
251,"Henry Hub Natural Gas Spot Price, Daily",20191115,D,2.7,Dollars per Million Btu
252,"Henry Hub Natural Gas Spot Price, Daily",20191114,D,2.68,Dollars per Million Btu
253,"Henry Hub Natural Gas Spot Price, Daily",20191113,D,2.66,Dollars per Million Btu
254,"Henry Hub Natural Gas Spot Price, Daily",20191112,D,2.72,Dollars per Million Btu
255,"Henry Hub Natural Gas Spot Price, Daily",20191111,D,2.87,Dollars per Million Btu
256,"Henry Hub Natural Gas Spot Price, Daily",20191108,D,2.87,Dollars per Million Btu
257,"Henry Hub Natural Gas Spot Price, Daily",20191107,D,2.84,Dollars per Million Btu
258,"Henry Hub Natural Gas Spot Price, Daily",20191106,D,2.82,Dollars per Million Btu
259,"Henry Hub Natural Gas Spot Price, Daily",20191105,D,2.77,Dollars per Million Btu
260,"Henry Hub Natural Gas Spot Price, Daily",20191104,D,2.77,Dollars per Million Btu
261,"Henry Hub Natural Gas Spot Price, Daily",20191101,D,2.54,Dollars per Million Btu
262,"Henry Hub Natural Gas Spot Price, Daily",20191031,D,2.73,Dollars per Million Btu
